date,url,rating,user,opinion
on 16 November 2017,/gp/customer-reviews/R1URSKFBF4G4GQ?ASIN=B01DDP7D6W,5,Irshad,Best A++++
date,url,rating,user,opinion
on 20 August 2017,/gp/customer-reviews/RC0ZH3VXDH4PV?ASIN=B01DDP7D6W,1,Mayur patel,Earphone is missingI case of you
on 25 April 2018,/gp/customer-reviews/RRK6I8EM6CG1H?ASIN=B01DDP7D6W,1,Abhishek Verma,"very bad experience with this phone , touch not good, hang problem , battery back up not good"
on 6 March 2018,/gp/customer-reviews/R1K5SYYSUN7GPF?ASIN=B01DDP7D6W,1,Amazon Customer,Worst Phone..... The phone gets hanged.... restarts several times.... Battery Backup is too less....
on 24 March 2018,/gp/customer-reviews/R1J7L3NTS2J622?ASIN=B01DDP7D6W,5,Nijeesh,Good Product
on 17 August 2018,/gp/customer-reviews/R3BSX2RM3AAT2Y?ASIN=B01DDP7D6W,1,sandip,"I got a bad phone, its sim 2 slot stopped working in just 10-15 days."
on 27 October 2017,/gp/customer-reviews/R1LAJK4KXBT7MM?ASIN=B01DDP7D6W,5,RAJESH SEHGAL,Good and quality mobile in less price
on 31 January 2018,/gp/customer-reviews/R2J36S16HV5FDG?ASIN=B01DDP7D6W,4,Naveen NM,Good
on 26 November 2017,/gp/customer-reviews/R3U8KZQXEO0CIK?ASIN=B01DDP7D6W,5,Amazon Customer,Unbelavable price very nice phone
on 13 September 2018,/gp/customer-reviews/R2ZYNEFKK03K0Q?ASIN=B01DDP7D6W,5,Manshiram mali ,Good
on 6 September 2018,/gp/customer-reviews/R1918UXJJ6EIC7?ASIN=B01DDP7D6W,5,Ram Dinesh Singh,Nice
date,url,rating,user,opinion
on 10 September 2017,/gp/customer-reviews/R3SA1KV6JZ92MT?ASIN=B01DDP7D6W,3,Harsh,The battery gets down after charging when left untouched
on 26 August 2018,/gp/customer-reviews/ROGYQC9UFSCJU?ASIN=B01DDP7D6W,4,Swati,Mobile is aswm ... picture quality also good .but I didn't get earphone ...🤔
on 12 April 2018,/gp/customer-reviews/R3TMMDN7R1VKP2?ASIN=B01DDP7D6W,5,Shashi,Super fast delivery as usual phone is a bit lag but no worries
on 4 December 2016,/gp/customer-reviews/R1DZMZ4OBTEXAH?ASIN=B01DDP7D6W,1,Amazon Customer,"I never suggest samsung mobile I have on7pro and on5pro both.... very bad camera,very bad quality of body, screen light quality don't buy"
on 19 April 2018,/gp/customer-reviews/R3SESS275DXUZ1?ASIN=B01DDP7D6W,4,Divya,Nic phone..thanku
